Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"NEI Research Grant for Vision-Related Secondary Data Analysis (R21 Clinical Trial Not Allowed)","1/2/2025","10/17/2027","R21","NIH","NEI","None","PAR-25-357","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-357.html"
"Substance Use/Substance Use Disorder Dissertation Research Award (R36 Clinical Trials Not Allowed)","1/2/2025","9/8/2026","R36","NIH","NIDA","None","PAR-25-347","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-347.html"
"Ruth L. Kirschstein National Research Service Award (NRSA) Short-Term Institutional Research Training Grant (Parent T35)","1/2/2025","5/8/2028","T35","NIH","OD","NCCIH, NEI, NHLBI, NIA, NIAAA, NIBIB, NIDCD, NIDDK, NIEHS","PA-25-280","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-280.html"
"Academic-Industrial Partnerships for Translation of Technologies for Diagnosis and Treatment (R01 - Clinical Trial Not Allowed)","12/31/2024","1/8/2028","R01","NIH","NCI","NEI, NIDCR, ORWH","PAR-25-338","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-338.html"
"Academic-Industrial Partnerships for Translation of Technologies for Diagnosis and Treatment (R01 - Clinical Trial Optional)","12/31/2024","1/8/2028","R01","NIH","NCI","None","PAR-25-337","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-337.html"
"Revision Applications for Incorporation of Novel NCI- Supported Technology to Accelerate Cancer Research (U01 Clinical Trial Optional)","12/31/2024","10/4/2025","U01","NIH","NCI","None","RFA-CA-25-006","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-006.html"
"Revision Applications for Incorporation of Novel NCI-Supported Technology to Accelerate Cancer Research (P50 Clinical Trial Optional)","12/31/2024","10/4/2025","P50","NIH","NCI","None","RFA-CA-25-007","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-007.html"
"Revision Applications for Incorporation of Novel NCI-Supported Technology to Accelerate Cancer Research (R01 Clinical Trial Optional)","12/31/2024","10/4/2025","R01","NIH","NCI","None","RFA-CA-25-005","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-005.html"
"Innovative Pilot Mental Health Services Research Not Involving Clinical Trials (R34 Clinical Trial Not Allowed)","12/30/2024","1/8/2028","R34","NIH","NIMH","None","PAR-25-284","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-284.html"
"Innovative Mental Health Services Research Not Involving Clinical Trials (R01 Clinical Trials Not Allowed)","12/30/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-283","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-283.html"
"Planning for Product Development Strategy (R34 Clinical Trial Not Allowed)","12/30/2024","12/5/2026","R34","NIH","NIAID","None","PAR-25-099","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-099.html"
"Translational Bioinformatics and Experimental Approaches to Advance Drug Repositioning and Combination Therapy Development for Alzheimers Disease and Related Dementias (R01 Clinical Trial Not Allowed)","12/30/2024","5/8/2028","R01","NIH","NIA","None","PAR-25-374","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-374.html"
"Cutting-Edge Basic Research Awards (CEBRA) (R21 Clinical Trial Optional)","12/30/2024","8/12/2027","R21","NIH","NIDA","None","PAR-25-101","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-101.html"
"Ex Vivo Models for Studies at the Intersection of HIV and Addictive Substance Use (R01 Clinical Trial Not Allowed)","12/30/2024","8/14/2025","R01","NIH","NIDA","None","RFA-DA-25-074","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-074.html"
"Secondary Analysis of Existing Datasets in Heart, Lung, and Blood Diseases and Sleep Disorders (R21 Clinical Trial Not Allowed)","12/30/2024","1/8/2026","R21","NIH","NHLBI","None","PAR-25-056","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-056.html"
"Early Immune System Development and Ontogeny (R01 Clinical Trial Optional)","12/30/2024","1/8/2029","R01","NIH","NICHD","None","PAR-25-362","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-362.html"
"Research on Current Topics in Alzheimer's Disease and Its Related Dementias (R01 Clinical Trial Optional)","12/30/2024","11/6/2027","R01","NIH","NIA","NINDS","PAR-25-332","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-332.html"
"Research on Current Topics in Alzheimer's Disease and Its Related Dementias (R21 Clinical Trial Optional)","12/30/2024","11/17/2027","R21","NIH","NIA","None","PAR-25-331","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-331.html"
"Limited Competition: Ruth L. Kirschstein National Research Service Award (NRSA) Postdoctoral Research Training Grant for the Clinical and Translational Science Awards (CTSA) Program (T32 Clinical Trial Not Allowed)","12/19/2024","9/29/2027","T32","NIH","NCATS","None","PAR-25-195","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-195.html"
"Limited Competition: Ruth L. Kirschstein National Research Service Award (NRSA) Predoctoral Research Training Grant for the Clinical and Translational Science Awards (CTSA) Program (T32 Clinical Trial Not Allowed)","12/19/2024","9/29/2027","T32","NIH","NCATS","None","PAR-25-194","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-194.html"
"Elucidating Immunometabolic Responses to HIV Infection that Increase TB or HBV Risk (R01 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R01","NIH","NIAID","None","PAR-25-315","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-315.html"
"Elucidating Immunometabolic Responses to HIV Infection that Increase TB or HBV Risk (R21 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R21","NIH","NIAID","None","PAR-25-316","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-316.html"
"Translational Efforts to Advance Gene-based Therapies for Ultra-Rare Neurological and Neuromuscular Disorders (U01 - Clinical Trial Optional)","12/18/2024","10/9/2027","U01","NIH","NINDS","None","PAR-25-327","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-327.html"
"Ultra-Rare Gene-based Therapy (URGenT) Network Resource Access (X01, Clinical Trial Not Allowed)","12/18/2024","2/1/2028","X01","NIH","NINDS","None","PAR-25-326","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-326.html"
"NIH Research Project Grant (Parent R01 Basic Experimental Studies with Humans Required)","12/18/2024","1/8/2028","R01","NIH","NIH","NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR, NCCIH, NCI, NEI, NIA, NIAAA, NICHD, NIDA, NIDCD, NIDCR","PA-25-303","PA","Basic_Trial","https://grants.nih.gov/grants/guide/pa-files/PA-25-303.html"
"NIH Research Project Grant (Parent R01 Clinical Trial Required)","12/18/2024","1/8/2028","R01","NIH","NIH","NCCIH, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM","PA-25-305","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-305.html"
"U60 Research Cooperative Agreement","12/18/2024","12/3/2025","U60","CDC","NIOSH","None","RFA-OH-25-183","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-OH-25-183.html"
"NIH Research Project Grant (Parent R01 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R01","NIH","NIH","NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NCCIH, NCI, NEI, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ORIP","PA-25-301","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-301.html"
"NIH Exploratory/Developmental Research Project Grant (Parent R21 Basic Experimental Studies with Humans Required)","12/18/2024","1/8/2028","R21","NIH","NIH","NCCIH, NEI, NIA, NIAAA, NICHD, NIDA, NIDCD, NIMH, NINR","PA-25-307","PA","Basic_Trial","https://grants.nih.gov/grants/guide/pa-files/PA-25-307.html"
"NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required)","12/18/2024","1/8/2028","R21","NIH","NIH","NEI, NHGRI, NIA, NIAAA, NIAID, NIBIB, NICHD, NIDA, NIDCD, NIEHS, NIMH, NINR, NLM","PA-25-306","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-306.html"
"NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R21","NIH","NIH","NCCIH, NEI, NHGRI, NIA, NIAAA, NIAID, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, NINR, NLM","PA-25-304","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-304.html"
"NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R03","NIH","NIH","NHGRI, NIA, NIAAA, NIAID, NIBIB, NICHD, NIDA, NIEHS, NIMH, NINDS, NLM","PA-25-302","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-302.html"
"NIDDK Catalyst Award (DP1 Clinical Trial Not Allowed)","12/18/2024","7/19/2025","DP1","NIH","NIDDK","None","RFA-DK-26-006","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-006.html"
"NHLBI Clinical Trial Pilot Studies (R34 Clinical Trial Optional)","12/18/2024","1/8/2027","R34","NIH","NHLBI","None","PAR-25-032","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-032.html"
"Toward Translation of Nanotechnology Cancer Interventions (TTNCI; R01 Clinical Trial Not Allowed)","12/16/2024","11/16/2027","R01","NIH","NCI","None","PAR-25-336","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-336.html"
"Addressing Barriers to Healthcare Transitions for Survivors of Childhood and Adolescent Cancers (R01 Clinical Trial Optional)","12/16/2024","10/18/2025","R01","NIH","NCI","None","RFA-CA-25-019","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-019.html"
"Supporting Talented Early Career Researchers in Genomics (R01 Clinical Trial Optional)","12/16/2024","2/27/2027","R01","NIH","NHGRI","None","RFA-HG-25-009","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-25-009.html"
"NIDCD Research Grants for Translating Basic Research into Clinical Practice (R01 Clinical Trial Optional)","12/16/2024","10/13/2027","R01","NIH","NIDCD","None","RFA-DC-25-002","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-25-002.html"
"Limited Competition: Small Grant Program for NHLBI K01/K08/K23/K25 Recipients (R03 Clinical Trial Optional)","12/16/2024","1/8/2026","R03","NIH","NHLBI","None","RFA-HL-25-011","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-25-011.html"
"Advanced Development and Validation of Emerging Molecular and Cellular Analysis Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed)","12/16/2024","10/4/2025","R33","NIH","NCI","None","RFA-CA-25-002","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-002.html"
"Advanced Development and Validation of Emerging Biospecimen Science Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed)","12/16/2024","10/4/2025","R33","NIH","NCI","None","RFA-CA-25-004","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-004.html"
"Innovative Biospecimen Science Technologies for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed)","12/16/2024","10/4/2025","R61","NIH","NCI","None","RFA-CA-25-003","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-003.html"
"Innovative Molecular and Cellular Analysis Technologies for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed)","12/16/2024","10/4/2025","R61","NIH","NCI","None","RFA-CA-25-001","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-001.html"
"D-START: Data Science Track Award for Research Transition (D/START) (R03-Clinical Trial Optional)","12/16/2024","9/8/2027","R03","NIH","NIDA","None","PAS-25-236","PAS","Optional","https://grants.nih.gov/grants/guide/pa-files/PAS-25-236.html"
"Leveraging Network Infrastructure to Conduct Innovative Research for Women, Children, Pregnant and Lactating Women, and Persons with Disabilities (UG3/UH3 - Clinical Trial Optional)","12/16/2024","11/16/2027","UG3/UH3","NIH","NICHD","ORWH","PAR-25-311","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-311.html"
"Institutional Training Programs to Advance Translational Research on Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) (T32 Clinical Trial Not Allowed)","12/13/2024","9/26/2026","T32","NIH","NIA","None","PAR-25-247","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-247.html"
"Integrating Biospecimen Science Approaches into Clinical Assay Development (U01 Clinical Trial Not Allowed)","12/13/2024","9/11/2027","U01","NIH","NCI","None","PAR-25-325","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-325.html"
"Risk and Protective Factors of Family Health and Family Level Interventions (R01 Clinical Trial Optional)","12/12/2024","5/8/2027","R01","NIH","NIMHD","NCI, NIAAA, NINR, ODP, ORWH, THRO","PAR-25-317","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-317.html"
"Clinical Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative UG3/UH3 Clinical Trial Required)","12/11/2024","1/12/2026","UG3/UH3","NIH","NHLBI","None","PAR-25-029","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-029.html"
"Limited Competition: Clinical and Translational Science Award (CTSA) Program: Collaborative and Innovative Acceleration Award (UG3/UH3 Clinical Trial Optional)","12/11/2024","10/20/2027","UG3/UH3","NIH","NCATS","NHGRI, NIAID, NIAMS, NICHD, NIDCR, NIGMS, NIMHD, OBSSR, ODP, ORWH","PAR-25-296","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-296.html"
"Single-Site Investigator-Initiated Clinical Trials (R61/R33 Clinical Trial Required)","12/11/2024","1/12/2026","R61/R33","NIH","NHLBI","None","PAR-25-028","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-028.html"
"Limited Competition: Small Grant Program for the NCATS Clinical and Translational Science Award (CTSA) Program (R03 Clinical Trial Optional)","12/11/2024","10/20/2026","R03","NIH","NCATS","None","PAR-25-155","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-155.html"
"HEAL Initiative-Early-Stage Discovery of New Pain Targets Within the Understudied Druggable Proteome (R03 Clinical Trial Not Allowed)","12/11/2024","7/17/2026","R03","NIH","NCATS","NCCIH, NIA, NIAAA, NIAMS, NICHD, NIDA, NIDCR, NINDS","PAR-25-154","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-154.html"
"High Impact, Interdisciplinary Science in NIDDK Research Areas (RC2 Clinical Trial Optional)","12/11/2024","10/16/2027","RC2","NIH","NIDDK","None","PAR-25-277","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-277.html"
"Exploratory/Developmental Bioengineering Research Grants (EBRG) (R21 Clinical Trial Not Allowed)","12/11/2024","1/8/2028","R21","NIH","NCI","NIDCR","PAR-25-346","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-346.html"
"Limited Competition: High Impact Specialized Innovation Programs in Clinical and Translational Science  (RC2 Clinical Trials Optional)","12/10/2024","9/29/2026","RC2","NIH","NCATS","None","PAR-25-156","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-156.html"
